PLATFORM_NUMBER,CYCLE_NUMBER,time,JULD_LOCATION,latitude,longitude,PRES,TEMP,PSAL,TEMP_QC,PSAL_QC
,,UTC,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU,,
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1037.7,6.32,34.92,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1062.9,6.178,34.914,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1088.1,6.047,34.909,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1113.2,5.929,34.905,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1138.3,5.844,34.902,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1163.0,5.754,34.898,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1187.9,5.651,34.895,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1212.8,5.505,34.889,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1237.4,5.411,34.886,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1263.1,5.333,34.883,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1287.9,5.242,34.88,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1313.3,5.152,34.876,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1337.9,5.051,34.872,1,1
